entry,title,keywords,abstract,year,journal
AZAZA20181,Context proposals for saliency detection,"Computational saliency, Object segmentation, Object proposals","One of the fundamental properties of a salient object region is its contrast with the immediate context. The problem is that numerous object regions exist which potentially can all be salient. One way to prevent an exhaustive search over all object regions is by using object proposal algorithms. These return a limited set of regions which are most likely to contain an object. Several saliency estimation methods have used object proposals. However, they focus on the saliency of the proposal only, and the importance of its immediate context has not been evaluated. In this paper, we aim to improve salient object detection. Therefore, we extend object proposal methods with context proposals, which allow to incorporate the immediate context in the saliency computation. We propose several saliency features which are computed from the context proposals. In the experiments, we evaluate five object proposal methods for the task of saliency segmentation, and find that Multiscale Combinatorial Grouping outperforms the others. Furthermore, experiments show that the proposed context features improve performance, and that our method matches results on the FT datasets and obtains competitive results on three other datasets (PASCAL-S, MSRA-B and ECSSD).",2018,Computer Vision and Image Understanding
BENSHABAT201812,Graph based over-segmentation methods for 3D point clouds,"3D point cloud over-segmentation, 3D point cloud segmentation, Super-points, Grouping","Over-segmentation, or super-pixel generation, is a common preliminary stage for many computer vision applications. New acquisition technologies enable the capturing of 3D point clouds that contain color and geometrical information. This 3D information can be utilized to improve the results of over-segmentation, which uses mainly color information, and to generate clusters of points we call super-points. We consider a variety of possible 3D extensions of the Local Variation (LV) graph based over-segmentation algorithms, and compare them thoroughly. We consider different alternatives for constructing the connectivity graph, for assigning the edge weights, and for defining the merge criterion, which must now account for the geometric information and not only color. Following this evaluation, we derive a new generic algorithm for over-segmentation of 3D point clouds. We call this new algorithm Point Cloud Local Variation (PCLV). The advantages of the new over-segmentation algorithm are demonstrated on both outdoor and cluttered indoor scenes. Performance analysis of the proposed approach compared to state-of-the-art 2D and 3D over-segmentation algorithms shows significant improvement according to the common performance measures.",2018,Computer Vision and Image Understanding
YANG201843,Text effects transfer via distribution-aware texture synthesis,"Text effects, Texture synthesis, Spatial distribution, Multi-scale, Style transfer","In this paper, we explore the problem of fantastic special-effects synthesis for the typography. The main challenge of this problem lies in the model diversities to illustrate varied text effects for different characters. To address this issue, we exploit the key analytics on the high regularity of the texture spatial distribution for text effects to guide the synthesis process. Specifically, we characterize the stylized patches by their normalized positions relative to the text skeleton and the optimal scales to depict their style elements. Our method first estimates these two features and derives their correlation statistically. They are then converted into soft constraints for texture transfer to accomplish adaptive multi-scale texture synthesis and to make style element distribution uniform. It allows our algorithm to produce artistic typography that well consists with both local texture patterns and the global spatial distribution in the source example. Furthermore, stroke similarities are considered to control the varieties of text effects among multiple characters in a word. Experimental results demonstrate the superiority of our distribution-aware method for various text effects over conventional style transfer methods. In addition, we validate the effectiveness of our algorithm with extensive artistic typography library generation and apply our method to a general application of special effects transfer for stroke-based graphics.",2018,Computer Vision and Image Understanding
BARATH201870,Efficient energy-based topological outlier rejection,"Stereo vision, Outlier filtering, Energy minimization, Point correspondences","An approach is proposed for outlier rejection from a set of 2D point correspondences which does not require any underlying models, e.g. fundamental matrix. The solution is obtained by minimizing an energy originated from the neighborhood-graphs in both images using a grab-cut-like algorithm: iterated graph-cut and re-fitting. The method is validated on publicly available datasets, it is real time for most of the problems and achieves more accurate results than RANSAC and its state-of-the-art variants in terms of outlier rejection ratio. It is applicable to scenes where a single fundamental matrix is not estimable, e.g. non-rigid or degenerate ones.",2018,Computer Vision and Image Understanding
ARRIGONI201895,Robust synchronization in SO(3) and SE(3) via low-rank and sparse matrix decomposition,"Absolute rotations, Global rotations, Structure-from-motion, Global registration, ℓ-Regularization, Matrix completion, Robust principal component analysis, Low-rank & sparse matrix decomposition","This paper deals with the synchronization problem, which arises in multiple 3D point-set registration and in structure-from-motion. The problem is formulated as a low-rank and sparse matrix decomposition that caters for missing data, outliers and noise, and it benefits from a wealth of available decomposition algorithms that can be plugged-in. A minimization strategy, dubbed R-GoDec, is also proposed. Experimental results on simulated and real data show that this approach offers a good trade-off between resistance to outliers and speed.",2018,Computer Vision and Image Understanding
TIAN201824,Ordinal space projection learning via neighbor classes representation,"Ordinal metric learning, Ordinal space projection learning, Neighbor class representation, Ordinal relationship","Ordinal metric learning (OML) is an important research branch of metric learning and has attracted increasing attention due to its wide applications where there typically exists a global order (i.e., ordinal) relationship among the data classes, such as human age estimation and head pose recognition, etc. Although several works have been proposed to perform OML, they suffer from two critical drawbacks: 1) only the local ordinal relationships among classes rather than the global one are considered, and 2) the very time-consuming semi-definite programming is commonly involved. To avoid these shortcomings, in this paper we propose a novel OML approach, named ordinal space projection learning (OSPL) by representing one class with its neighbor classes whose representation weights are proportional to their class distance (i.e., absolute label difference), in which the neighboring ordinal class similarities are taken into account in their reconstruction. Then, we present an alternating optimization algorithm to solve the proposed method to learn an ordinal distance space. Finally, extensive experiments on ordinal estimation tasks demonstrate effectiveness and superiority of the proposed method.",2018,Computer Vision and Image Understanding
BOULAHIA201857,CuDi3D: Curvilinear displacement based approach for online 3D action detection,"Online action recognition, Skeleton-based approach, Human action detection, Curvilinear displacement, Online segmentation, Skeleton data stream","Being able to interactively detect and recognize 3D actions based on skeleton data, in unsegmented streams, has become an important computer vision topic. It raises three scientific problems in relation with variability. The first one is the temporal variability that occurs when subjects perform gestures with different speeds. The second one is the inter-class spatial variability, which refers to disparities between the displacement amounts induced by different classes (i.e. long vs. short movements). The last one is the intra-class spatial variability caused by differences in style and gesture amplitude. In this paper, we design an original approach that better considers these three issues. To address temporal variability we introduce the notion of curvilinear segmentation. It consists in extracting features, not on temporally-based sliding windows, but on trajectory segments for which the cumulated displacement equals a class-based amount. Second, to tackle inter-class spatial variability, we define several competing classifiers with their dedicated curvilinear windows. Last, we address intra-class spatial variability by designing a fusion system that takes the decisions and confidence scores of every competing classifier into account. Extensive experiments on four challenging skeleton-based datasets demonstrate the relevance of the proposed approach for action recognition and online action detection.",2018,Computer Vision and Image Understanding
LI201841,"VideoLSTM convolves, attends and flows for action recognition","Action recognition, Video representation, Attention, LSTM","We present VideoLSTM for end-to-end sequence learning of actions in video. Rather than adapting the video to the peculiarities of established recurrent or convolutional architectures, we adapt the architecture to fit the requirements of the video medium. Starting from the soft-Attention LSTM, VideoLSTM makes three novel contributions. First, video has a spatial layout. To exploit the spatial correlation we hardwire convolutions in the soft-Attention LSTM architecture. Second, motion not only informs us about the action content, but also guides better the attention towards the relevant spatio-temporal locations. We introduce motion-based attention. And finally, we demonstrate how the attention from VideoLSTM can be exploited for action localization by relying on the action class label and temporal attention smoothing. Experiments on UCF101, HMDB51 and THUMOS13 reveal the benefit of the video-specific adaptations of VideoLSTM in isolation as well as when integrated in a combined architecture. It compares favorably against other LSTM architectures for action classification and especially action localization.",2018,Computer Vision and Image Understanding
WANG201881,An efficient solution to the perspective-three-point pose problem,"Perspective-three-point problem (P3P), Absolute position and attitude, Pose estimation, Monocular vision, Computer vision","In this paper, we present a new algebraic method to solve the perspective-three-point (P3P) problem, which directly computes the rotation and position of a camera in the world frame without the intermediate derivation of the points in the camera frame. Unlike other online methods, the proposed method uses an “object” coordinate frame, in which the known 3D coordinates are sparse, facilitating formulations of the P3P problem. Additionally, two auxiliary variables are introduced to parameterize the rotation and position matrix, and then a closed-form solution for the camera pose is obtained from subsequent substitutions. This algebraic approach makes the processes more easily followed and significantly improves the performance. Experimental results demonstrated that our method offers accuracy and precision comparable to the existing state-of-the art methods but it has better computational efficiency.",2018,Computer Vision and Image Understanding
FURUYA2018102,Learning part-in-whole relation of 3D shapes for part-based 3D model retrieval,"Part-based 3D model retrieval, Part-in-whole retrieval, Deep learning","Given a query that specifies partial 3D shape, a Part-based 3D Model Retrieval (P3DMR) system finds 3D shapes whose part or parts matches the query. An approach to P3DMR is to partition or segment whole models into sub-parts and performs query-part-to-target-parts matching. Whatever the definition of part, e.g., a rectangular volume in Euclidean space or a part segmented on a mesh manifold, the computation will be very costly. The part-whole matching must account for, for each 3D whole shape in a database, varying position, scale and orientation of the segmented sub parts. Another approach, in an attempt to make part-whole matching efficient, tries to approximate part-whole inclusion test with a single comparison between a pair of features, one representing the part-based query and the other representing the whole shape. Aggregation of local geometrical features of parts into a feature per whole 3D shape, e.g., via Bag-of-Features approach, is an example. This approach so far suffered from inaccuracy as the aggregation is not optimized for part-whole inclusion test of 3D shapes. This paper proposes a novel P3DMR algorithm called Part-Whole Relation Embedding network (PWRE-net) that effectively and efficiently performs part-whole inclusion test via learned embedding into a common feature space. Using deep neural network, the PWRE-net learns, from a large number of part-whole shape pairs, a common embedding of partial shapes and their associated whole shapes. For the training, training datasets containing part-whole shape pairs are created automatically from unlabeled 3D models. Experimental evaluation shows that PWRE-net outperforms existing algorithms both in terms of retrieval accuracy and efficiency.",2018,Computer Vision and Image Understanding
